COMMAND     PID            USER   FD   TYPE    DEVICE SIZE/OFF NODE NAME
sshd        234            root    3u  IPv4    109168      0t0  TCP *:2222 (LISTEN)
sshd        234            root    4u  IPv6    109170      0t0  TCP *:2222 (LISTEN)
xrdp        351            xrdp    6u  IPv4    111281      0t0  TCP *:3389 (LISTEN)
xrdp        351            xrdp    7u  IPv4 164374455      0t0  TCP 92.222.4.169:3389->2.186.158.31:12674 (ESTABLISHED)
xrdp        351            xrdp    9u  IPv4 210192679      0t0  TCP 92.222.4.169:3389->61.150.72.82:11996 (ESTABLISHED)
xrdp        351            xrdp   11u  IPv4 255631666      0t0  TCP 92.222.4.169:3389->89.38.234.25:42173 (ESTABLISHED)
xrdp        351            xrdp   13u  IPv4 431303695      0t0  TCP 92.222.4.169:3389->190.29.30.253:64880 (ESTABLISHED)
xrdp        351            xrdp   15u  IPv4 668629325      0t0  TCP 92.222.4.169:3389->78.188.193.185:58250 (ESTABLISHED)
xrdp        351            xrdp   17u  IPv4 442309107      0t0  TCP 92.222.4.169:3389->156.17.137.102:60223 (ESTABLISHED)
xrdp        351            xrdp   19u  IPv4 442481727      0t0  TCP 92.222.4.169:3389->156.17.137.102:52910 (ESTABLISHED)
xrdp        351            xrdp   21u  IPv4 442662282      0t0  TCP 92.222.4.169:3389->156.17.137.102:45596 (ESTABLISHED)
xrdp        351            xrdp   23u  IPv4 444392685      0t0  TCP 92.222.4.169:3389->156.17.137.102:39517 (ESTABLISHED)
xrdp        351            xrdp   25u  IPv4 444611735      0t0  TCP 92.222.4.169:3389->156.17.137.102:32202 (ESTABLISHED)
xrdp        351            xrdp   27u  IPv4 444932501      0t0  TCP 92.222.4.169:3389->156.17.137.102:24887 (ESTABLISHED)
xrdp        351            xrdp   29u  IPv4 450500571      0t0  TCP 92.222.4.169:3389->70.25.40.222:54343 (ESTABLISHED)
xrdp        351            xrdp   31u  IPv4 450501910      0t0  TCP 92.222.4.169:3389->70.25.40.222:49816 (ESTABLISHED)
xrdp        351            xrdp   33u  IPv4 450502212      0t0  TCP 92.222.4.169:3389->70.25.40.222:51364 (ESTABLISHED)
xrdp        351            xrdp   35u  IPv4 587174721      0t0  TCP 92.222.4.169:3389->14.96.101.231:1808 (ESTABLISHED)
xrdp        351            xrdp   37u  IPv4 686289553      0t0  TCP 92.222.4.169:3389->69.193.214.74:3654 (ESTABLISHED)
xrdp        351            xrdp   39u  IPv4 731200794      0t0  TCP 92.222.4.169:3389->62.245.232.17:43731 (ESTABLISHED)
xrdp        351            xrdp   41u  IPv4 738833211      0t0  TCP 92.222.4.169:3389->62.245.232.17:16055 (ESTABLISHED)
xrdp        351            xrdp   43u  IPv4 997552990      0t0  TCP 92.222.4.169:3389->182.50.118.169:62100 (ESTABLISHED)
xrdp-sesm   530            root    6u  IPv4    109403      0t0  TCP 127.0.0.1:3350 (LISTEN)
mysqld      621           mysql   12u  IPv4    123274      0t0  TCP 127.0.0.1:3306 (LISTEN)
apache2     649            root    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2    1452        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
systemd-r  4216 systemd-resolve   11u  IPv4 573190645      0t0  UDP *:5355 
systemd-r  4216 systemd-resolve   12u  IPv4 573190646      0t0  TCP *:5355 (LISTEN)
shellinab  4364     shellinabox    4u  IPv4 573191205      0t0  TCP *:4200 (LISTEN)
apache2    5895        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   11614        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   20898        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   22098        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   22161        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
node      24484       guillaume   10u  IPv6 998055745      0t0  TCP *:40404 (LISTEN)
apache2   25583        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   27023        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   27051        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
apache2   30652        www-data    4u  IPv6    114734      0t0  TCP *:80 (LISTEN)
